Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection

30/04/2020;Autres;721;15;645;2.08;89.46;8.46
30/04/2020;Zimbabwe;40;4;5;10.00;12.50;77.50
30/04/2020;Zambie;106;3;55;2.83;51.89;45.28
30/04/2020;Afrique du Sud;5647;103;2073;1.82;36.71;61.47
30/04/2020;Mayotte;539;4;235;0.74;43.60;55.66
30/04/2020;Yémen;6;2;1;33.33;16.67;50.00
30/04/2020;Kosovo;799;22;249;2.75;31.16;66.08
30/04/2020;Viet Nam;270;0;219;0.00;81.11;18.89
30/04/2020;Venezuela;333;16;142;4.80;42.64;52.55
30/04/2020;St-Vincent / Grenadines;16;0;8;0.00;50.00;50.00
30/04/2020;Vatican;11;0;2;0.00;18.18;81.82
30/04/2020;Ouzbékistan;2039;9;1133;0.44;55.57;43.99
30/04/2020;Uruguay;643;17;417;2.64;64.85;32.50
30/04/2020;États-Unis;1069424;62996;153947;5.89;14.40;79.71
30/04/2020;Ouganda;83;0;52;0.00;62.65;37.35
30/04/2020;Ukraine;10406;261;1238;2.51;11.90;85.59
30/04/2020;Tanzanie;480;16;167;3.33;34.79;61.88
30/04/2020;Taïwan;429;6;322;1.40;75.06;23.54
30/04/2020;Trinité-et-Tobago;116;8;72;6.90;62.07;31.03
30/04/2020;Turquie;120204;3174;48886;2.64;40.67;56.69
30/04/2020;Tunisie;994;41;305;4.12;30.68;65.19
30/04/2020;Timor-Leste;24;0;16;0.00;66.67;33.33
30/04/2020;Thaïlande;2954;54;2684;1.83;90.86;7.31
30/04/2020;Tadjikistan;15;0;0;0.00;0.00;100.00
30/04/2020;Togo;116;9;65;7.76;56.03;36.21
30/04/2020;Tchad;73;5;33;6.85;45.21;47.95
30/04/2020;Eswatini;100;1;12;1.00;12.00;87.00
30/04/2020;Syrie;43;3;21;6.98;48.84;44.19
30/04/2020;El Salvador;395;10;119;2.53;30.13;67.34
30/04/2020;Sao Tomé-et-Principe;14;0;4;0.00;28.57;71.43
30/04/2020;Soudan du sud;35;0;0;0.00;0.00;100.00
30/04/2020;Suriname;10;1;8;10.00;80.00;10.00
30/04/2020;Somalie;601;28;31;4.66;5.16;90.18
30/04/2020;Sénégal;933;9;334;0.96;35.80;63.24
30/04/2020;Saint-Marin;569;41;78;7.21;13.71;79.09
30/04/2020;Sierra Leone;124;7;21;5.65;16.94;77.42
30/04/2020;Slovénie;1429;91;233;6.37;16.31;77.33
30/04/2020;Slovaquie;1396;23;524;1.65;37.54;60.82
30/04/2020;Singapour;16169;15;1244;0.09;7.69;92.21
30/04/2020;Suède;21092;2586;1005;12.26;4.76;82.97
30/04/2020;Soudan;442;31;39;7.01;8.82;84.16
30/04/2020;Seychelles;11;0;6;0.00;54.55;45.45
30/04/2020;Arabie Saoudite;22753;162;3163;0.71;13.90;85.39
30/04/2020;Rwanda;243;0;104;0.00;42.80;57.20
30/04/2020;Fédération de Russie;106498;1073;11619;1.01;10.91;88.08
30/04/2020;Serbie;9009;179;1343;1.99;14.91;83.11
30/04/2020;Roumanie;12240;717;4017;5.86;32.82;61.32
30/04/2020;Réunion;420;0;300;0.00;71.43;28.57
30/04/2020;Qatar;13409;10;1372;0.07;10.23;89.69
30/04/2020;Paraguay;266;10;113;3.76;42.48;53.76
30/04/2020;Portugal;25045;989;1519;3.95;6.07;89.99
30/04/2020;Palestine;344;2;76;0.58;22.09;77.33
30/04/2020;Pologne;12877;644;3236;5.00;25.13;69.87
30/04/2020;Pakistan;16817;385;4315;2.29;25.66;72.05
30/04/2020;Philippines;8488;568;1043;6.69;12.29;81.02
30/04/2020;Papouasie-Nouvelle-Guinée;8;0;0;0.00;0.00;100.00
30/04/2020;Polynésie Française;58;0;50;0.00;86.21;13.79
30/04/2020;Pérou;36976;1051;10405;2.84;28.14;69.02
30/04/2020;Panama;6532;188;576;2.88;8.82;88.30
30/04/2020;Oman;2348;11;495;0.47;21.08;78.45
30/04/2020;Nouvelle-Zélande;1479;19;1252;1.28;84.65;14.06
30/04/2020;Népal;57;0;16;0.00;28.07;71.93
30/04/2020;Pays-Bas;39512;4811;125;12.18;0.32;87.51
30/04/2020;Norvège;7738;210;32;2.71;0.41;96.87
30/04/2020;Nicaragua;14;3;7;21.43;50.00;28.57
30/04/2020;Nigéria;1932;58;319;3.00;16.51;80.49
30/04/2020;Niger;719;32;452;4.45;62.87;32.68
30/04/2020;Nouvelle-Calédonie;18;0;17;0.00;94.44;5.56
30/04/2020;Namibie;16;0;8;0.00;50.00;50.00
30/04/2020;Mozambique;76;0;12;0.00;15.79;84.21
30/04/2020;Malaisie;6002;102;4171;1.70;69.49;28.81
30/04/2020;Maldives;468;1;17;0.21;3.63;96.15
30/04/2020;Malawi;37;3;7;8.11;18.92;72.97
30/04/2020;Mexique;19224;1859;11423;9.67;59.42;30.91
30/04/2020;Maurice;332;10;310;3.01;93.37;3.61
30/04/2020;Malte;465;4;351;0.86;75.48;23.66
30/04/2020;Mauritanie;8;1;6;12.50;75.00;12.50
30/04/2020;Martinique;178;14;83;7.87;46.63;45.51
30/04/2020;Macao;45;0;35;0.00;77.78;22.22
30/04/2020;Mongolie;38;0;10;0.00;26.32;73.68
30/04/2020;Birmanie;151;6;27;3.97;17.88;78.15
30/04/2020;Mali;490;26;135;5.31;27.55;67.14
30/04/2020;Macédoine;1465;77;738;5.26;50.38;44.37
30/04/2020;Madagascar;128;0;92;0.00;71.88;28.13
30/04/2020;Saint Martin;38;3;24;7.89;63.16;28.95
30/04/2020;Montenegro;322;7;214;2.17;66.46;31.37
30/04/2020;Moldavie;3897;116;1182;2.98;30.33;66.69
30/04/2020;Monaco;95;4;64;4.21;67.37;28.42
30/04/2020;Maroc;4423;170;984;3.84;22.25;73.91
30/04/2020;Libye;61;3;18;4.92;29.51;65.57
30/04/2020;Lettonie;858;15;348;1.75;40.56;57.69
30/04/2020;Luxembourg;3784;90;3213;2.38;84.91;12.71
30/04/2020;Lituanie;1385;45;589;3.25;42.53;54.22
30/04/2020;Libéria;141;16;45;11.35;31.91;56.74
30/04/2020;Sri Lanka;663;7;154;1.06;23.23;75.72
30/04/2020;Liechtenstein;82;1;55;1.22;67.07;31.71
30/04/2020;Sainte-Lucie;17;0;15;0.00;88.24;11.76
30/04/2020;Liban;725;24;150;3.31;20.69;76.00
30/04/2020;Laos;19;0;8;0.00;42.11;57.89
30/04/2020;Kazakhstan;3402;25;866;0.73;25.46;73.81
30/04/2020;Koweït;4024;26;1539;0.65;38.25;61.11
30/04/2020;Corée du Sud;10774;248;9072;2.30;84.20;13.50
30/04/2020;Saint-Kitts-et-Nevis;15;0;6;0.00;40.00;60.00
30/04/2020;Comores;1;0;0;0.00;0.00;100.00
30/04/2020;Cambodge;122;0;119;0.00;97.54;2.46
30/04/2020;Kirghizistan;746;8;462;1.07;61.93;37.00
30/04/2020;Kenya;396;17;144;4.29;36.36;59.34
30/04/2020;Japon;14088;430;2460;3.05;17.46;79.49
30/04/2020;Jordanie;453;8;362;1.77;79.91;18.32
30/04/2020;Jamaïque;422;8;29;1.90;6.87;91.23
30/04/2020;Italie;205463;27967;75945;13.61;36.96;49.43
30/04/2020;Islande;1797;10;1670;0.56;92.93;6.51
30/04/2020;Iran;94640;6028;75103;6.37;79.36;14.27
30/04/2020;Iraq;2085;93;1375;4.46;65.95;29.59
30/04/2020;Inde;34863;1154;9068;3.31;26.01;70.68
30/04/2020;Israël;15946;222;8561;1.39;53.69;44.92
30/04/2020;Irlande;20612;1232;13386;5.98;64.94;29.08
30/04/2020;Indonésie;10118;792;1522;7.83;15.04;77.13
30/04/2020;Hongrie;2775;312;581;11.24;20.94;67.82
30/04/2020;Haïti;81;8;8;9.88;9.88;80.25
30/04/2020;Croatie;2076;69;1348;3.32;64.93;31.74
30/04/2020;Honduras;771;71;79;9.21;10.25;80.54
30/04/2020;Hong-Kong;1037;4;846;0.39;81.58;18.03
30/04/2020;Guyana;82;9;22;10.98;26.83;62.20
30/04/2020;Guinée-Bissau;205;1;19;0.49;9.27;90.24
30/04/2020;Guatemala;599;16;66;2.67;11.02;86.31
30/04/2020;Grèce;2591;140;1374;5.40;53.03;41.57
30/04/2020;Guinée Équatoriale;315;1;9;0.32;2.86;96.83
30/04/2020;Guadeloupe;151;12;95;7.95;62.91;29.14
30/04/2020;Guinée;1495;7;329;0.47;22.01;77.53
30/04/2020;Gambie;11;1;8;9.09;72.73;18.18
30/04/2020;Gibraltar;144;0;131;0.00;90.97;9.03
30/04/2020;Ghana;2074;17;212;0.82;10.22;88.96
30/04/2020;Guyane Française;126;1;94;0.79;74.60;24.60
30/04/2020;Géorgie;539;6;184;1.11;34.14;64.75
30/04/2020;Grenade;20;0;13;0.00;65.00;35.00
30/04/2020;Gabon;276;3;67;1.09;24.28;74.64
30/04/2020;Royaume-Uni;172337;26842;728;15.58;0.42;84.00
30/04/2020;France;167178;24376;49476;14.58;29.59;55.82
30/04/2020;Îles Féroé;187;0;184;0.00;98.40;1.60
30/04/2020;Fidji;18;0;12;0.00;66.67;33.33
30/04/2020;Finlande;4995;211;3000;4.22;60.06;35.72
30/04/2020;Éthiopie;131;3;59;2.29;45.04;52.67
30/04/2020;Espagne;213435;24543;112050;11.50;52.50;36.00
30/04/2020;Érythrée;39;0;26;0.00;66.67;33.33
30/04/2020;Sahara Occidental;6;0;5;0.00;83.33;16.67
30/04/2020;Égypte;5537;392;1381;7.08;24.94;67.98
30/04/2020;Estonie;1689;52;249;3.08;14.74;82.18
30/04/2020;Équateur;24934;900;1558;3.61;6.25;90.14
30/04/2020;Algérie;4006;450;1779;11.23;44.41;44.36
30/04/2020;République Dominicaine;6972;301;1301;4.32;18.66;77.02
30/04/2020;Dominique;16;0;13;0.00;81.25;18.75
30/04/2020;Danemark;9169;452;6557;4.93;71.51;23.56
30/04/2020;Allemagne;163009;6623;123500;4.06;75.76;20.17
30/04/2020;Djibouti;1089;2;642;0.18;58.95;40.86
30/04/2020;République Tchèque;7682;236;3314;3.07;43.14;53.79
30/04/2020;Chypre;850;15;296;1.76;34.82;63.41
30/04/2020;Cap-vert;121;1;4;0.83;3.31;95.87
30/04/2020;Cuba;1501;61;681;4.06;45.37;50.57
30/04/2020;Costa Rica;719;6;338;0.83;47.01;52.16
30/04/2020;Colombie;6507;293;1439;4.50;22.11;73.38
30/04/2020;Chine;82874;4633;77642;5.59;93.69;0.72
30/04/2020;Cameroun;1832;61;934;3.33;50.98;45.69
30/04/2020;Chili;16023;227;8580;1.42;53.55;45.04
30/04/2020;Côte d'Ivoire;1275;14;574;1.10;45.02;53.88
30/04/2020;Suisse;29586;1737;23400;5.87;79.09;15.04
30/04/2020;Congo (Brazzaville);220;9;19;4.09;8.64;87.27
30/04/2020;République Centrafricaine;50;0;10;0.00;20.00;80.00
30/04/2020;Rép. Dém. du Congo;572;31;73;5.42;12.76;81.82
30/04/2020;Canada;54457;3310;21424;6.08;39.34;54.58
30/04/2020;Belize;18;2;9;11.11;50.00;38.89
30/04/2020;Bélarus;14027;89;2386;0.63;17.01;82.36
30/04/2020;Botswana;23;1;5;4.35;21.74;73.91
30/04/2020;Bhoutan;7;0;5;0.00;71.43;28.57
30/04/2020;Bahamas;81;11;25;13.58;30.86;55.56
30/04/2020;Brésil;87187;6006;35935;6.89;41.22;51.90
30/04/2020;Bolivie;1110;59;117;5.32;10.54;84.14
30/04/2020;Brunéi Darussalam;138;1;124;0.72;89.86;9.42
30/04/2020;Saint Barthélemy;6;0;6;0.00;100.00;0.00
30/04/2020;Bénin;64;1;33;1.56;51.56;46.88
30/04/2020;Burundi;11;1;4;9.09;36.36;54.55
30/04/2020;Bahreïn;3040;8;1500;0.26;49.34;50.39
30/04/2020;Bulgarie;1506;66;266;4.38;17.66;77.95
30/04/2020;Burkina Faso;645;43;506;6.67;78.45;14.88
30/04/2020;Belgique;48519;7594;11576;15.65;23.86;60.49
30/04/2020;Bangladesh;7667;168;160;2.19;2.09;95.72
30/04/2020;Barbade;81;7;39;8.64;48.15;43.21
30/04/2020;Bosnie-Herzégovine;1757;69;727;3.93;41.38;54.70
30/04/2020;Azerbaïdjan;1804;24;1325;1.33;73.45;25.22
30/04/2020;Australie;6766;93;5742;1.37;84.87;13.76
30/04/2020;Autriche;15452;584;12907;3.78;83.53;12.69
30/04/2020;Argentine;4428;218;1256;4.92;28.36;66.71
30/04/2020;Angola;27;2;7;7.41;25.93;66.67
30/04/2020;Arménie;2066;32;929;1.55;44.97;53.48
30/04/2020;Albanie;773;31;470;4.01;60.80;35.19
30/04/2020;Antigua-et-Barbuda;24;3;11;12.50;45.83;41.67
30/04/2020;Afghanistan;2171;64;260;2.95;11.98;85.08
30/04/2020;Émirats Arabes Unis;12481;105;2429;0.84;19.46;79.70
30/04/2020;Andorre;745;42;468;5.64;62.82;31.54
29/04/2020;Andorre;743;42;423;5.65;56.93;37.42
29/04/2020;Émirats Arabes Unis;11929;98;2329;0.82;19.52;79.65
29/04/2020;Afghanistan;1939;60;252;3.09;13.00;83.91
29/04/2020;Antigua-et-Barbuda;24;3;11;12.50;45.83;41.67
29/04/2020;Albanie;766;30;455;3.92;59.40;36.68
29/04/2020;Arménie;1932;30;900;1.55;46.58;51.86
29/04/2020;Angola;27;2;7;7.41;25.93;66.67
29/04/2020;Argentine;4285;214;1192;4.99;27.82;67.19
29/04/2020;Autriche;15402;580;12779;3.77;82.97;13.26
29/04/2020;Australie;6752;91;5715;1.35;84.64;14.01
29/04/2020;Azerbaïdjan;1766;23;1267;1.30;71.74;26.95
29/04/2020;Bosnie-Herzégovine;1677;65;710;3.88;42.34;53.79
29/04/2020;Barbade;80;7;39;8.75;48.75;42.50
29/04/2020;Bangladesh;7103;163;150;2.29;2.11;95.59
29/04/2020;Belgique;47859;7501;11283;15.67;23.58;60.75
29/04/2020;Burkina Faso;641;43;498;6.71;77.69;15.60
29/04/2020;Bulgarie;1447;64;243;4.42;16.79;78.78
29/04/2020;Bahreïn;2921;8;1455;0.27;49.81;49.91
29/04/2020;Burundi;11;1;4;9.09;36.36;54.55
29/04/2020;Bénin;64;1;33;1.56;51.56;46.88
