id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,original_language,original_title,overview,popularity,genres,production_companies,production_countries,spoken_languages,directors,writers,averageRating,numVotes																																
27205,Inception,8.364,34495,Released,2010-07-15,825532764,148,160000000,en,Inception,"Cobb| a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception""| the implantation of another person's idea into a target's subconscious.",83.952,Action,Legendary Pictures,United Kingdom,English,Christopher Nolan,Christopher Nolan,8.8,2615046																																
157336,Interstellar,8.417,32571,Released,2014-11-05,701729206,169,165000000,en,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,140.241,Adventure,Legendary Pictures,United Kingdom,English,Christopher Nolan,Jonathan Nolan,8.7,2200215																																
155,The Dark Knight,8.512,30619,Released,2008-07-16,1004558444,152,185000000,en,The Dark Knight,Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent| Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective| but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.,130.643,Drama,DC Comics,United Kingdom,English,Christopher Nolan,Jonathan Nolan,9.0,2946971																																
19995,Avatar,7.573,29815,Released,2009-12-15,2923706026,162,237000000,en,Avatar,In the 22nd century| a paraplegic Marine is dispatched to the moon Pandora on a unique mission| but becomes torn between following orders and protecting an alien civilization.,79.932,Action,Dune Entertainment,United States of America,English,James Cameron,James Cameron,7.9,1409099																																
24428,The Avengers,7.71,29166,Released,2012-04-25,1518815515,143,220000000,en,The Avengers,When an unexpected enemy emerges and threatens global safety and security| Nick Fury| director of the international peacekeeping agency known as S.H.I.E.L.D.| finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe| a daring recruitment effort begins!,98.082,Science Fiction,Marvel Studios,United States of America,English,Joss Whedon,Joss Whedon,8.0,1483869																																
293660,Deadpool,7.606,28894,Released,2016-02-09,783100000,108,58000000,en,Deadpool,The origin story of former Special Forces operative turned mercenary Wade Wilson| who| after being subjected to a rogue experiment that leaves him with accelerated healing powers| adopts the alter ego Deadpool. Armed with his new abilities and a dark| twisted sense of humor| Deadpool hunts down the man who nearly destroyed his life.,72.735,Action,20th Century Fox,United States of America,English,Tim Miller,Rhett Reese,8.0,1177836																																
299536,Avengers: Infinity War,8.255,27713,Released,2018-04-25,2052415039,149,300000000,en,Avengers: Infinity War,As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle| a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy| his goal is to collect all six Infinity Stones| artifacts of unimaginable power| and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.,154.34,Adventure,Marvel Studios,United States of America,English,Anthony Russo,Christopher Markus,8.4,1245621																																
550,Fight Club,8.438,27238,Released,1999-10-15,100853753,139,63000000,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on| with underground ""fight clubs"" forming in every town| until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",69.498,Drama,Regency Enterprises,United States of America,English,David Fincher,Chuck Palahniuk,8.8,2396852																																
118340,Guardians of the Galaxy,7.906,26638,Released,2014-07-30,772776600,121,170000000,en,Guardians of the Galaxy,Light years from Earth| 26 years after being abducted| Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.,33.255,Action,Marvel Studios,United States of America,English,James Gunn,James Gunn,8.0,1295939																																
680,Pulp Fiction,8.488,25893,Released,1994-09-10,213900000,154,8500000,en,Pulp Fiction,A burger-loving hit man| his philosophical partner| a drug-addled gangster's moll and a washed-up boxer converge in this sprawling| comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.,74.862,Thriller,Miramax,United States of America,English,Quentin Tarantino,Quentin Tarantino,8.9,2277036																																
