"titleId";"ordering";"title";"region";"language";"types";"attributes";"isOriginalTitle"
"tt0000001";"1";"Carmencita";"\\N";"\\N";"original";"\\N";"1"
"tt0000001";"2";"Carmencita";"DE";"\\N";"\\N";"literal title";"0"
"tt0000001";"3";"Carmencita";"US";"\\N";"imdbDisplay";"\\N";"0"
"tt0000001";"4";"Carmencita - spanyol tánc";"HU";"\\N";"imdbDisplay";"\\N";"0"
"tt0000001";"5";"Καρμενσίτα";"GR";"\\N";"imdbDisplay";"\\N";"0"
"tt0000001";"6";"Карменсита";"RU";"\\N";"imdbDisplay";"\\N";"0"
"tt0000001";"7";"Карменсіта";"UA";"\\N";"imdbDisplay";"\\N";"0"
"tt0000001";"8";"カルメンチータ";"JP";"ja";"imdbDisplay";"\\N";"0"
"tt0000002";"1";"Le clown et ses chiens";"\\N";"\\N";"original";"\\N";"1"
"tt0000002";"2";"A bohóc és kutyái";"HU";"\\N";"imdbDisplay";"\\N";"0"
"tt0000002";"3";"Clovnul si cainii sai";"RO";"\\N";"imdbDisplay";"\\N";"0"
"tt0000002";"4";"Der Clown und seine Hunde";"DE";"\\N";"\\N";"literal title";"0"
"tt0000002";"5";"Le clown et ses chiens";"FR";"\\N";"imdbDisplay";"\\N";"0"
"tt0000002";"6";"The Clown and His Dogs";"US";"\\N";"\\N";"literal English title";"0"
"tt0000002";"7";"Клоун и его собаки";"RU";"\\N";"imdbDisplay";"\\N";"0"
"tt0000002";"8";"道化師と犬";"JP";"ja";"imdbDisplay";"\\N";"0"
"tt0000003";"1";"Pauvre Pierrot";"\\N";"\\N";"original";"\\N";"1"
"tt0000003";"10";"哀れなピエロ";"JP";"ja";"imdbDisplay";"\\N";"0"
"tt0000003";"2";"Poor Pierrot";"GB";"\\N";"imdbDisplay";"\\N";"0"
"tt0000003";"3";"Poor Pierrot";"US";"\\N";"imdbDisplay";"\\N";"0"
"tt0000003";"4";"Armer Pierrot";"DE";"\\N";"\\N";"literal title";"0"
"tt0000003";"5";"Pauvre Pierrot";"FR";"\\N";"imdbDisplay";"\\N";"0"
"tt0000003";"6";"Sarmanul Pierrot";"RO";"\\N";"imdbDisplay";"\\N";"0"
"tt0000003";"7";"Szegény Pierrot";"HU";"\\N";"imdbDisplay";"\\N";"0"
"tt0000003";"8";"Бедный Пьеро";"RU";"\\N";"imdbDisplay";"\\N";"0"
"tt0000003";"9";"Бідний П'єро";"UA";"\\N";"imdbDisplay";"\\N";"0"
"tt0000004";"1";"Un bon bock";"\\N";"\\N";"original";"\\N";"1"
"tt0000004";"2";"A Good Beer";"\\N";"\\N";"\\N";"\\N";"0"
"tt0000004";"3";"Egy jó pohár sör";"HU";"\\N";"imdbDisplay";"\\N";"0"
"tt0000004";"4";"Ein gutes Glas Bier";"DE";"\\N";"\\N";"literal title";"0"
"tt0000004";"5";"Un bon bock";"FR";"\\N";"imdbDisplay";"\\N";"0"
"tt0000004";"6";"Un ţap de bere";"RO";"\\N";"imdbDisplay";"\\N";"0"
"tt0000004";"7";"Полная кружка пива";"RU";"\\N";"imdbDisplay";"\\N";"0"
"tt0000004";"8";"一杯のビール";"JP";"ja";"imdbDisplay";"\\N";"0"
"tt0000005";"1";"Blacksmith Scene";"\\N";"\\N";"original";"\\N";"1"
"tt0000005";"10";"The Blacksmith's Forge";"GB";"\\N";"\\N";"informal alternative title";"0"
"tt0000005";"11";"Ковальська сцена";"UA";"\\N";"imdbDisplay";"\\N";"0"
"tt0000005";"12";"Сцена в кузне";"RU";"\\N";"imdbDisplay";"\\N";"0"
"tt0000005";"2";"Blacksmith Scene";"CA";"en";"imdbDisplay";"\\N";"0"
"tt0000005";"3";"Blacksmith Scene";"US";"\\N";"imdbDisplay";"\\N";"0"
"tt0000005";"4";"A patkolókovács";"HU";"\\N";"imdbDisplay";"\\N";"0"
"tt0000005";"5";"Blacksmith Scene #1";"US";"\\N";"alternative";"\\N";"0"
"tt0000005";"6";"Blacksmith Shop";"GB";"\\N";"\\N";"informal alternative title";"0"
"tt0000005";"7";"Blacksmithing";"US";"\\N";"\\N";"informal alternative title";"0"
"tt0000005";"8";"Blacksmithing Scene";"US";"\\N";"alternative";"\\N";"0"
"tt0000005";"9";"Schmiedszene";"DE";"\\N";"\\N";"literal title";"0"
"tt0000006";"1";"Chinese Opium Den";"\\N";"\\N";"original";"\\N";"1"
"tt0000006";"2";"Chinese Opium Den";"US";"\\N";"imdbDisplay";"\\N";"0"
"tt0000006";"3";"Chinesische Opiumhöhle";"DE";"\\N";"\\N";"literal title";"0"
