"id","title","vote_average","vote_count","status","release_date","revenue","runtime","budget","imdb_id","original_language","original_title","overview","popularity","tagline","genres","production_companies","production_countries","spoken_languages","cast","director","director_of_photography","writers","producers","music_composer","imdb_rating","imdb_votes","poster_path"
"2","Ariel","7.1","335.0","Released","1988-10-21","0.0","73.0","0.0","tt0094675","fi","Ariel","After the coal mine he works at closes and his father commits suicide, a Finnish man leaves for the city to make a living but there, he is framed and imprisoned for various crimes.","11.915","","Comedy, Drama, Romance, Crime","Villealfa Filmproductions","Finland","suomi","Heikki Salomaa, Hanna Jokinen, Matti Pellonpää, Pekka Wilen, Timo Toikka, Tomi Salmela, Tarja Keinänen, Kari Helaseppä, Markku Rantala, Heikki Anttila, Esko Nikkari, Timo Harakka, Mikko Remes, Erkki Pajala, Eetu Hilkamo, Hannu Kivisalo, Matti Jaaranen, Esko Salminen, Jaakko Talaskivi, Turo Pajala, Susanna Haavisto, Merja Pulkkinen, Pentti Auer, Jouko Lumme, Sami Lanki, Kauko Laalo, Reijo Marin, Sirkka Rautiainen, Sakari Kuosmanen, Juuso Hirvikangas, Marja Packalén, Mikko Lyytikäinen, Hannu Viholainen, Jorma Markkula, Veikko Uusimäki, Jyrki Olsonen, Olli Varja, Eino Kuusela, Timo Markko","Aki Kaurismäki","Timo Salminen","Aki Kaurismäki","Aki Kaurismäki","","7.4","8777.0","/ojDg0PGvs6R9xYFodRct2kdI6wC.jpg"
"3","Shadows in Paradise","7.3","369.0","Released","1986-10-17","0.0","74.0","0.0","tt0092149","fi","Varjoja paratiisissa","Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them.","16.287","","Comedy, Drama, Romance","Villealfa Filmproductions","Finland","suomi, English, svenska","Kati Outinen, Ulla Kuosmanen, Jaakko Talaskivi, Teuvo Rissanen, Bertta Pellonpää, Riikka Kuosmanen, Olli Varja, Malla Hukkanen, Jussi Tiitinen, Kylli Köngäs, Matti Pellonpää, Mari Rantasila, Marina Martinoff, Svante Korkiakoski, Ari Korhonen, Antti Ortamo, Helmeri Pellonpää, Sakke Järvenpää, Mato Valtonen, Erkki Rissanen, Pentti Koski, Aki Kaurismäki, Jukka Mäkinen, Eskil Mansikka, Pekka Laiho, Safka Pekkonen, Sirkka Silin, Haije Alanoja, Neka Haapanen, Tanja Talaskivi, Jukka-Pekka Palo, Sakari Kuosmanen, Esko Nikkari","Aki Kaurismäki","Timo Salminen","Aki Kaurismäki","Mika Kaurismäki","","7.5","7540.0","/nj01hspawPof0mJmlgfjuLyJuRN.jpg"
"5","Four Rooms","5.8","2628.0","Released","1995-12-09","4257354.0","98.0","4000000.0","tt0113101","en","Four Rooms","It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.","15.415","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.","Comedy","Miramax, A Band Apart","United States of America","English","Tim Roth, Tamlyn Tomita, Marisa Tomei, Danny Verduzco, Ione Skye, Paul Calderon, Lili Taylor, Lawrence Bender, Quentin Tarantino, Patricia Vonne, Salma Hayek Pinault, Marc Lawrence, Laura Rush, Alicia Witt, Valeria Golino, Quinn Hellerman, Kathy Griffin, Antonio Banderas, Amanda de Cadenet, Sammi Davis, Jennifer Beals, Bruce Willis, Lana McKissack, David Proval, Unruly Julie McClean, Madonna, Kimberly Blair, Paul Skemp","Alexandre Rockwell, Quentin Tarantino, Allison Anders, Robert Rodriguez","Guillermo Navarro, Phil Parmet, Rodrigo García, Andrzej Sekula","Alexandre Rockwell, Quentin Tarantino, Allison Anders, Robert Rodriguez","Lawrence Bender, Quentin Tarantino, Alexandre Rockwell","Combustible Edison","6.7","112650.0","/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg"
"6","Judgment Night","6.5","331.0","Released","1993-10-15","12136938.0","109.0","21000000.0","tt0107286","en","Judgment Night","Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.","8.924","Don't move. Don't whisper. Don't even breathe.","Action, Crime, Thriller","Largo Entertainment, JVC, Universal Pictures","United States of America","English","Cuba Gooding Jr., Peter Greene, David L. Crowley, Denis Leary, Eugene Williams, Robert S. Neville, Hank McGill, Darin Mangan, Will Zahrn, Stephen Dorff, Doug Wert, Angela Alvarado, Raichle Watt, Michael DeLorenzo, Michael Wiseman, Jeremy Piven, Nigel Gibbs, Galyn Görg, Michael Scranton, Kathleen Perkins, Christine Harnos, Lydell M. Cheshier, Relioues Webb, Emilio Estevez, Donovan D. Ross, Everlast, Sean O'Grady, Deirdre Kelly, Lauren Robinson, Stuart Abramson, Mark Phelan","Stephen Hopkins","Peter Levy","Jere Cunningham, Lewis Colick","Gene Levy, Lloyd Segan, Marilyn Vance","Alan Silvestri","6.6","19313.0","/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg"
"8","Life in Loops (A Megacities RMX)","7.5","27.0","Released","2006-01-01","0.0","80.0","42000.0","tt0825671","en","Life in Loops (A Megacities RMX)","Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world """"megacities"""" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006","3.203","A Megacities remix.","Documentary","inLoops","Austria","English, हिन्दी, 日本語, Pусский, Español","","Timo Novotny","Wolfgang Thaler","Michael Glawogger, Timo Novotny","Ulrich Gehmacher, Timo Novotny","","8.2","284.0","/7ln81BRnPR2wqxuITZxEciCe1lc.jpg"
"9","Sunday in August","7.135","26.0","Released","2004-09-02","0.0","15.0","0.0","tt0425473","de","Sonntag im August","","2.729","","Drama","","Germany","Deutsch","Rita Lengyel, Milton Welsh","Marc Meyer, Anna Haas","Peter Polsak-Lohmann","Marc Meyer","Marc Meyer","Christian Biegai","6.8","14.0",""
"11","Star Wars","8.204","20541.0","Released","1977-05-25","775398007.0","121.0","11000000.0","tt0076759","en","Star Wars","Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.","83.114","A long time ago in a galaxy far, far away...","Adventure, Action, Science Fiction","Lucasfilm Ltd., 20th Century Fox","United States of America","English","Lightning Bear, Geoffrey Moon, Alfie Curtis, Graham Ashley, Janice Burchette, Jack Purvis, Roy Straite, George Stock, Mandy Morton, Garrick Hagon, Drewe Henley, Michael Leader, Shelagh Fraser, Kenny Baker, Alan Harris, Anthony Daniels, Mahjoub, Robert Davies, Sadie Eden, Salo Gardner, Barry Copping, Ted Burnett, Peter Diamond, Steve Gawley, Alex McCrindle, Jerry Walter, Maria De Aragon, Barry Gnome, Carrie Fisher, Tim Condren, Morgan Upton, Joe Kaye, Doug Beswick, Malcolm Tierney, Frank Henson, Kim Falkinburg, Fred Wood, Phil Brown, John Sylla, Tiffany Hillkurtz, Peter Sumner, Warwick Diamond, Harry Fielder, Denis Lawson, Frances Alfred Basil Tomlin, Arthur Howell, John Cannon, Ted Gagliano, Colin Michael Kitchens, David Ankrum, Rusty Goffe, Paul Blake, Joe Johnston, Laine Liska, Tommy Ilsley, Anthony Lang, Richard LeParmentier, Peter Mayhew, Melissa Kurtz, Mark Hamill, Peter Sturgeon, Linda Jones, Alf Mangan, Peter Cushing, Anthony Forrest, Scott Beach, Phil Tippett, Erica Simmons, Tom Sylla, Angela Staines, Reg Harding, Lorne Peterson, Diana Sadley Way, Robert A. Denham, Marcus Powell, Hal Wamsley, John Chapman, Burnell Tucker, Isaac Grand, Harrison Ford, George Roubicek, Alec Guinness, Annette Jones, Bill Weston, Jack Klaff, Don Henderson, Pam Rose, James Earl Jones, Derek Lyons, Colin Higgins, Shane Rimmer, Eddie Byrne, Gilda Cohen, Jeremy Sinden, Ron Tarr, Larry Ward, Al Lampert, Angus MacInnes, Leslie Schofield, Jon Berg, Frazer Diamond, Grant McCune, David Prowse, William Hootkins","George Lucas","Gilbert Taylor","George Lucas","George Lucas, Rick McCallum, Gary Kurtz","John Williams","8.6","1479695.0","/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg"
"12","Finding Nemo","7.819","19180.0","Released","2003-05-30","940335536.0","100.0","94000000.0","tt0266543","en","Finding Nemo","Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.","102.869","There are 3.7 trillion fish in the ocean. They're looking for one.","Animation, Family","Pixar","United States of America","English","Bob Bergen, Ellen DeGeneres, Joe Ranft, Elizabeth Perkins, Michaela Jill Murphy, Alexander Gould, Danny Mann, Caroline Kindred, Vanessa Marano, Laura Marano, Evan Sabara, Brad Garrett, Geoffrey Rush, Jack Angel, Eliza Schneider, Ben Stanton, Jordan Ranft, Jess Harnell, Noah Luke, Daryl Sabara, James S. Baker, Jane Carr, Jan Rabson, Kali Whitehurst, Marc John Jefferies, Bruce Spence, Oliver Kindred, Rove McManus, Austin Pendleton, Vicki Lewis, Susan Blu, Barry Humphries, Erik Per Sullivan, Phil Proctor, Nicole Miller, Jim Ward, Leland Grossman, Nicholas Bird, Eric Bana, Jennifer Darling, Jeff Pidgeon, Laraine Newman, Lee Unkrich, Bobby Block, Geoff Brooks, John Ratzenberger, Erica Beck, Lili Ishida, Bradley Trevor Greive, Bill Hunter, Allison Janney, Lisa Peers, Aaron Fors, Andrew Stanton, LuLu Ebeling, Paul Eiding, Sherry Lynn, Mickie McGowan, Emmett Shoemaker, David Ian Salter, Stephen Root, Carlos Alazraqui, Alec Medlock, Annelise Nolting, Bob Peterson, Katherine Ringgold, Willem Dafoe, Albert Brooks","Andrew Stanton","Sharon Calahan, Jeremy Lasky","Jim Capobianco, Blake Tucker, Andrew Stanton, Ronnie del Carmen, Bob Peterson, Will Csaklos, David Reynolds, Adam Bronstein","Graham Walters, John Lasseter","Thomas Newman","8.2","1136708.0","/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg"
"13","Forrest Gump","8.471","27417.0","Released","1994-06-23","677387716.0","142.0","55000000.0","tt0109830","en","Forrest Gump","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.","90.504","The world will never be the same once you've seen it through the eyes of Forrest Gump.","Comedy, Drama, Romance","Paramount Pictures, The Steve Tisch Company, Wendy Finerman Productions","United States of America","English","Steven Griffith, Jim Hanks, Michael Garvey, Neal MacMillan, Juan Singleton, John Glenn Harding, Michael Satterfield, Bonnie Ann Burgess, Mike Jolly, Tim Perry, Richard Nixon, Aloysius Gigl, John-Michael Steele, Chiffonye Cobb, Jeanne Hanna, John Randall, Marcus Batton, Rob Landry, Steve DeRelian, Daniel Chamblin, Arthur Bremer, Marlena Smalls, Brendan Shanahan, Lenny Herb, Michael McFall, Peter Dobson, Matt Rebenkoff, Don Fischer, Jacqueline Lovell, Kurt Russell, Valentine, Bruce Lucvia, Jay Ross, Margo Moorer, Natalie Hendrix Tate, Jim Damron, Christopher Jones, Kevin Davis, Bob Penny, William Shipman, Michael Conner Humphreys, Jim Keller, George Kelly, Gary Sinise, Andrew Lepper, Zhuang Zedong, Richard D'Alessandro, Leigh Goodoff, Ryan Duncan, John Worsham, Teresa Denton, Paul Raczkowski, Conor Kennelly, Peter Bannon, Ben Waddel, Ed Davis, Mary Ellen Trainor, Daniel J. Gillooly, Robert F. Kennedy, Ione M. Telech, Alexander Zemeckis, Charles Boswell, Jed Gillin, W. Benson Terry, Paulie DiCocco, Calvin Gadsden, Tiffany Salerno, Scott Oliver, Lonnie Hamilton, Keri-Anne Bilotta, Matt Wallace, Christopher James Hall, Joe Stefanelli, John Simmit, Timothy Record, Kitty K. Green, Clint Calvert, Afemo Omilami, Jeffrey Winner, Beth Aylward, Gary Robinson, Al Harrington, Pete Auster, Danté McCarthy, Joe Washington, Nora Dunfee, Timothy McNeil, Jim Boeke, Sally Field, David Brisbin, Greg Brown, John William Galt, Fay Genens, Neil Armstrong, Frank Geyer, Brett Rice, Michael Jace, Mark A. Rich, Rebecca Williams, Bob Hope, Bob Harks, Jack Bowden, Michael J. Oliver, Russ Isles, Michael Flannery, Tyler Long, James Ent, John Voldstad, Lazarus Jackson, Robin Wright, Harold G. Herthum, Teddy Lane Jr., Tom Hanks, Aaron Michael Lacey, George Wallace, Zach Hanner, Siobhan Fallon Hogan, Ronald Reagan, Hanna Hall, Grady Bowman, Sonny Shroyer, Isabel Rose, Stephen Bridgewater, Michael Mattison, Kenneth Bevington, Emily Carey, Jenny Inge Devaney, Darren W. Conrad, Todd Adamson, Vanessa Roth, Daniel C. Striepeke, Elvis Presley, John Lennon, Gerald Ford, Byron Minns, Grand L. Bush, Kevin Mangan, Troy Christian, Kirk Ward, Dick Stilwell, Mark Matheisen, Dick Clark, Robb Skyler, Bill Roberson, Russ Wilson, Joe Alaskey, Markus Alexander, Elizabeth Hanks, Haley Joel Osment, Christine Seabrook, Angela Lomas, Joe Abby, Bryan Hanna, Hilary Chaplain, Michael Kemmerling, Michael Burgess, Geoffrey Blake, Darrell O'Cook, Dick Cavett, Logan Livingston Gomez, Mykelti Williamson, Eric Underwood, Marla Sucharetza, Rob Adams, John F. Kennedy, John Connally, Hallie D'Amore, Deborah McTeer, Ellsworth Hanna, Bobby Richardson, Lyndon B. Johnson, Sam Anderson, Jason McGuire, Aaron Izbicki, Eric Alan Wendell, Beau Lotterman","Robert Zemeckis","Don Burgess","Winston Groom, Eric Roth","Steve Tisch, Steve Starkey, Wendy Finerman","Alan Silvestri","8.8","2320804.0","/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg"
"14","American Beauty","8.0","11990.0","Released","1999-09-15","356296601.0","122.0","15000000.0","tt0169547","en","American Beauty","Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.","35.254","Look closer.","Drama","DreamWorks Pictures, Jinks/Cohen Company","United States of America","English","Amber Smith, Chelsea Hertford, Mona Leah, Kent Faulcon, Sue Casey, Chekesha Van Putten, Tom Miller, Spencer Kayden, Carolina Lancaster, Reshma Gajjar, Scott Bakula, Barry Del Sherman, Annette Bening, Dennis Anderson, Elaine Corral Kendall, Mena Suvari, Fort Atkinson, Heather Joy Sher, Nancy Anderson, Marissa Jaret Winokur, Allison Janney, Stephanie Rizzo, Ara Celi, Alison Faulk, John Cho, Lisa Cloud, Joel McCrary, Wes Bentley, Erin Cathryn Strubbe, Matthew Kimbrough, Brenda Wehle, Thora Birch, Kevin Spacey, Emily Zachary, Krista Goodsitt, Chris Cooper, Lily Houtkin, Bruce Cohen, Sam Robards, James Hunter, Peter Gallagher","Sam Mendes","Conrad L. Hall","Alan Ball","Bruce Cohen, Dan Jinks","Thomas Newman","8.3","1230318.0","/wby9315QzVKdW9BonAefg8jGTTb.jpg"
